city_ascii,lat,lng,country,division
Tokyo,35.6897,139.6922,Japan,Asia
Jakarta,-6.2146,106.8451,Indonesia,Asia
Delhi,28.66,77.23,India,Asia
Mumbai,18.9667,72.8333,India,Asia
Manila,14.6,120.9833,Philippines,Asia
Shanghai,31.1667,121.4667,China,Asia
Sao Paulo,-23.5504,-46.6339,Brazil,Oceania
Seoul,37.56,126.99,"Korea, South",Asia
Mexico City,19.4333,-99.1333,Mexico,North America
Guangzhou,23.1288,113.259,China,Asia
Beijing,39.905,116.3914,China,Asia
Cairo,30.0561,31.2394,Egypt,Africa
New York,40.6943,-73.9249,United States,North America
Kolkata,22.5411,88.3378,India,Asia
Moscow,55.7558,37.6178,Russia,Europe
Bangkok,13.75,100.5167,Thailand,Asia
Buenos Aires,-34.5997,-58.3819,Argentina,Oceania
Shenzhen,22.535,114.054,China,Asia
Dhaka,23.7289,90.3944,Bangladesh,Asia
Lagos,6.45,3.4,Nigeria,Africa
Istanbul,41.01,28.9603,Turkey,Asia
Osaka,34.75,135.4601,Japan,Asia
Karachi,24.86,67.01,Pakistan,Asia
Bangalore,12.9699,77.598,India,Asia
Tehran,35.7,51.4167,Iran,Asia
Kinshasa,-4.3233,15.3081,Congo (Kinshasa),Africa
Ho Chi Minh City,10.8167,106.6333,Vietnam,Asia
Los Angeles,34.1139,-118.4068,United States,North America
Rio de Janeiro,-22.9083,-43.1964,Brazil,Oceania
Nanyang,32.9987,112.5292,China,Asia
Baoding,38.8671,115.4845,China,Asia
Chennai,13.0825,80.275,India,Asia
Chengdu,30.66,104.0633,China,Asia
Lahore,31.5497,74.3436,Pakistan,Asia
Paris,48.8566,2.3522,France,Europe
London,51.5072,-0.1275,United Kingdom,Europe
Linyi,35.0606,118.3425,China,Asia
Tianjin,39.1467,117.2056,China,Asia
Shijiazhuang,38.0422,114.5086,China,Asia
Zhoukou,33.625,114.6418,China,Asia
Lima,-12.05,-77.0333,Peru,Oceania
Hyderabad,17.3667,78.4667,India,Asia
Handan,36.6116,114.4894,China,Asia
Bogota,4.6126,-74.0705,Colombia,Oceania
Weifang,36.7167,119.1,China,Asia
Nagoya,35.1167,136.9333,Japan,Asia
Wuhan,30.5872,114.2881,China,Asia
Heze,35.2333,115.4333,China,Asia
Ganzhou,25.8292,114.9336,China,Asia
Tongshan,34.261,117.1859,China,Asia
Chicago,41.8373,-87.6862,United States,North America
Luanda,-8.8383,13.2344,Angola,Africa
Changsha,28.1987,112.9709,China,Asia
Fuyang,32.8986,115.8045,China,Asia
Kuala Lumpur,3.1478,101.6953,Malaysia,Asia
Jining,35.4,116.5667,China,Asia
Dongguan,23.0475,113.7493,China,Asia
Jinan,36.6667,116.9833,China,Asia
Foshan,23.0292,113.1056,China,Asia
Hanoi,21.0245,105.8412,Vietnam,Asia
Pune,18.5196,73.8553,India,Asia
Chongqing,29.5628,106.5528,China,Asia
Changchun,43.9,125.2,China,Asia
Zhumadian,32.9773,114.0253,China,Asia
Ningbo,29.875,121.5492,China,Asia
Cangzhou,38.3037,116.8452,China,Asia
Nanjing,32.05,118.7667,China,Asia
Hefei,31.8639,117.2808,China,Asia
Ahmedabad,23.03,72.58,India,Asia
Hong Kong,22.305,114.185,Hong Kong,Asia
Zhanjiang,21.1967,110.4031,China,Asia
Shaoyang,27.2418,111.4725,China,Asia
Hengyang,26.8968,112.5857,China,Asia
Khartoum,15.6031,32.5265,Sudan,Africa
Nantong,31.9829,120.8873,China,Asia
Yancheng,33.3936,120.1339,China,Asia
Nanning,22.8192,108.315,China,Asia
Xi'an,34.2667,108.9,China,Asia
Shenyang,41.8039,123.4258,China,Asia
Tangshan,39.6292,118.1742,China,Asia
Santiago,-33.45,-70.6667,Chile,Oceania
Zhengzhou,34.7492,113.6605,China,Asia
Shangqiu,34.4259,115.6467,China,Asia
Yantai,37.3997,121.2664,China,Asia
Riyadh,24.65,46.71,Saudi Arabia,Asia
Dar es Salaam,-6.8,39.2833,Tanzania,Africa
Xinyang,32.1264,114.0672,China,Asia
Shangrao,28.4419,117.9633,China,Asia
Luoyang,34.6587,112.4245,China,Asia
Bijie,27.3019,105.2863,China,Asia
Quanzhou,24.9139,118.5858,China,Asia
Hangzhou,30.25,120.1675,China,Asia
Miami,25.7839,-80.2102,United States,North America
Huanggang,30.45,114.875,China,Asia
Maoming,21.6618,110.9178,China,Asia
Kunming,25.0433,102.7061,China,Asia
Nanchong,30.7991,106.0784,China,Asia
Zunyi,27.705,106.9336,China,Asia
Jieyang,23.5533,116.3649,China,Asia
Lu'an,31.7542,116.5078,China,Asia
Yichun,27.8041,114.383,China,Asia
Madrid,40.4167,-3.7167,Spain,Europe
Changde,29.0397,111.6839,China,Asia
Taizhou,28.6583,121.4221,China,Asia
Liaocheng,36.45,115.9833,China,Asia
Qujing,25.5102,103.8029,China,Asia
Surat,21.17,72.83,India,Asia
Baghdad,33.35,44.4167,Iraq,Asia
Qingdao,36.1167,120.4,China,Asia
Singapore,1.3,103.8,Singapore,Asia
Dallas,32.7936,-96.7662,United States,North America
Dazhou,31.2152,107.4947,China,Asia
Suzhou,33.6333,116.9683,China,Asia
Xiangyang,32.0654,112.1531,China,Asia
Philadelphia,40.0077,-75.1339,United States,North America
Giza,29.987,31.2118,Egypt,Africa
Nairobi,-1.2864,36.8172,Kenya,Africa
Nangandao,35.2992,113.8851,China,Asia
Ankara,39.93,32.85,Turkey,Asia
Tai'an,36.2001,117.0809,China,Asia
Yulin,22.6293,110.1507,China,Asia
Dezhou,37.4513,116.3105,China,Asia
Houston,29.7863,-95.3889,United States,North America
Atlanta,33.7627,-84.4224,United States,North America
Yongzhou,26.4515,111.5953,China,Asia
Rangoon,16.8,96.15,Myanmar,Asia
Toronto,43.7417,-79.3733,Canada,North America
Suihua,46.6384,126.9808,China,Asia
Washington,38.9047,-77.0163,United States,North America
Qiqihar,47.3398,123.9512,China,Asia
Jinhua,29.1046,119.6494,China,Asia
Saint Petersburg,59.95,30.3167,Russia,Europe
Shantou,23.3735,116.6941,China,Asia
Sydney,-33.865,151.2094,Australia,Oceania
Weinan,34.4996,109.4684,China,Asia
Suqian,33.9331,118.2831,China,Asia
Guadalajara,20.6767,-103.3475,Mexico,North America
Suzhou,31.304,120.6164,China,Asia
Fuzhou,26.0769,119.2917,China,Asia
Zhaotong,27.3328,103.7144,China,Asia
Pudong,31.2231,121.5397,China,Asia
Belo Horizonte,-19.9281,-43.9419,Brazil,Oceania
Zhangzhou,24.5093,117.6612,China,Asia
Bozhou,33.8626,115.7742,China,Asia
Melbourne,-37.8136,144.9631,Australia,Oceania
Nanchang,28.6842,115.8872,China,Asia
Xianyang,34.35,108.7167,China,Asia
Taizhou,32.4831,119.9,China,Asia
Surabaya,-7.2458,112.7378,Indonesia,Asia
Abidjan,5.3364,-4.0267,Ivory Coast,Africa
Huaihua,27.5494,109.9592,China,Asia
Ji'an,27.1172,114.9793,China,Asia
Mianyang,31.4669,104.7385,China,Asia
Xiaoganzhan,30.9273,113.911,China,Asia
Shaoxing,30,120.5833,China,Asia
Alexandria,31.2,29.9167,Egypt,Africa
Yuncheng,35.0304,110.998,China,Asia
Pingdingshan,33.735,113.2999,China,Asia
Huizhou,23.1115,114.4152,China,Asia
Huai'an,33.5,119.1331,China,Asia
Xinpu,34.5906,119.1801,China,Asia
Chenzhou,25.7989,113.0267,China,Asia
Guilin,25.2667,110.2833,China,Asia
Jiujiang,29.7048,116.0021,China,Asia
Anqing,30.5,117.0333,China,Asia
Boston,42.3188,-71.0846,United States,North America
Huanglongsi,34.7936,114.3403,China,Asia
Jiangmen,22.5833,113.0833,China,Asia
Changzhou,31.8122,119.9692,China,Asia
Barcelona,41.3825,2.1769,Spain,Europe
Wuxi,31.5667,120.2833,China,Asia
Zibo,36.7831,118.0497,China,Asia
Jiaxing,30.7522,120.75,China,Asia
Dalian,38.9,121.6,China,Asia
Hengshui,37.7348,115.686,China,Asia
Harbin,45.75,126.6333,China,Asia
Yangzhou,32.3912,119.4363,China,Asia
Yibin,28.7596,104.64,China,Asia
Johannesburg,-26.2044,28.0416,South Africa,Africa
Yiyang,28.5833,112.3333,China,Asia
Meizhou,24.2998,116.1191,China,Asia
Chifeng,42.2663,118.9223,China,Asia
Casablanca,33.5992,-7.62,Morocco,Africa
Guiyang,26.5794,106.7078,China,Asia
Langfang,39.5196,116.7006,China,Asia
Zhangjiakou,40.8108,114.8811,China,Asia
Izmir,38.4127,27.1384,Turkey,Asia
Linfen,36.0812,111.5087,China,Asia
Wenzhou,27.9991,120.6561,China,Asia
Monterrey,25.6667,-100.3,Mexico,North America
Luzhou,28.8918,105.4409,China,Asia
Jiangguanchi,34.0244,113.8201,China,Asia
Neijiang,29.5872,105.0635,China,Asia
Phoenix,33.5722,-112.0891,United States,North America
Yanjiang,30.1256,104.6397,China,Asia
Zhaoqing,23.05,112.4667,China,Asia
Xiaoxita,30.7083,111.2803,China,Asia
Guigang,23.0961,109.6092,China,Asia
Xiamen,24.4797,118.0819,China,Asia
Chuzhou,32.3062,118.3115,China,Asia
Fuzhou,27.9814,116.3577,China,Asia
Zhuzhou,27.8407,113.1469,China,Asia
Amman,31.95,35.9333,Jordan,Asia
Jeddah,21.5428,39.1728,Saudi Arabia,Asia
Loudi,27.7378,111.9974,China,Asia
Deyang,31.1289,104.395,China,Asia
Qingyuan,23.6842,113.0507,China,Asia
Wuhu,31.334,118.3622,China,Asia
Hechi,23.0965,109.6091,China,Asia
Seattle,47.6211,-122.3244,United States,North America
Binzhou,37.3806,118.0125,China,Asia
Yokohama,35.4333,139.6333,Japan,Asia
Liuzhou,24.3264,109.4281,China,Asia
Baojishi,34.3609,107.1751,China,Asia
Guang'an,30.4673,106.6336,China,Asia
Hanzhong,33.0794,107.026,China,Asia
Kabul,34.5328,69.1658,Afghanistan,Asia
Zaozhuang,34.8667,117.55,China,Asia
Berlin,52.5167,13.3833,Germany,Europe
Anshan,41.1066,122.9895,China,Asia
Lanzhou,36.0617,103.8318,China,Asia
Chengde,40.9739,117.9322,China,Asia
San Francisco,37.7562,-122.443,United States,North America
Puyang,35.7639,115.03,China,Asia
Suining,30.5098,105.5737,China,Asia
Jiaozuo,35.229,113.2304,China,Asia
Bengbu,32.9354,117.3531,China,Asia
Montreal,45.5089,-73.5617,Canada,North America
Detroit,42.3834,-83.1024,United States,North America
Baicheng,23.901,106.6194,China,Asia
Busan,35.1,129.0403,"Korea, South",Asia
Algiers,36.7764,3.0586,Algeria,Africa
Qincheng,34.5809,105.7311,China,Asia
Taiyuan,37.8733,112.5425,China,Asia
Shiyan,32.6351,110.7755,China,Asia
Lucknow,26.847,80.947,India,Asia
Chaoyang,41.5757,120.4486,China,Asia
Hechi,24.6928,108.085,China,Asia
Leshan,29.5854,103.7575,China,Asia
Yulinshi,38.2655,109.7388,China,Asia
Siping,43.1715,124.3644,China,Asia
Zhongshan,22.5333,113.35,China,Asia
Changzhi,36.1953,113.097,China,Asia
San Diego,32.8312,-117.1225,United States,North America
Faisalabad,31.418,73.079,Pakistan,Asia
Santa Cruz,-17.7892,-63.1975,Bolivia,Oceania
Qinhuangdao,39.9398,119.5881,China,Asia
Bazhou,31.8576,106.7559,China,Asia
Zhenjiang,32.2109,119.4551,China,Asia
Urumqi,43.8225,87.6125,China,Asia
Tongliao,43.6172,122.264,China,Asia
Heyuan,23.7503,114.6923,China,Asia
Tongren,27.7233,109.1885,China,Asia
Qinzhou,21.95,108.6167,China,Asia
Jaipur,26.9167,75.8667,India,Asia
Xinzhou,38.4178,112.7233,China,Asia
Addis Ababa,9.0272,38.7369,Ethiopia,Africa
Meishan,30.0575,103.8381,China,Asia
Brasilia,-15.7939,-47.8828,Brazil,Oceania
Mashhad,36.3069,59.6042,Iran,Asia
Jinzhou,41.1144,121.1292,China,Asia
Tieling,42.2841,123.8365,China,Asia
Shaoguan,24.8011,113.5927,China,Asia
Kuwait City,29.375,47.98,Kuwait,Asia
