city_ascii,lat,lng,country,division
Sherbrooke,45.4,-71.9,Canada,North America
Solingen,51.1667,7.0833,Germany,Europe
Tacheng,46.7468,82.979,China,Asia
Dhamar,14.55,44.4017,Yemen,Asia
San Miguel,-34.5333,-58.7167,Argentina,Oceania
Jose Maria Ezeiza,-34.8333,-58.5167,Argentina,Oceania
Bayamon,18.3793,-66.1635,Puerto Rico,North America
Braganca Paulista,-22.9189,-46.5425,Brazil,Oceania
Ra's al Khaymah,25.7915,55.9428,United Arab Emirates,Asia
Pindamonhangaba,-22.9239,-45.4617,Brazil,Oceania
Dijon,47.3167,5.0167,France,Europe
Zhengding,38.1522,114.5771,China,Asia
Giron,7.0731,-73.1681,Colombia,Oceania
Khost,33.3333,69.9167,Afghanistan,Asia
Darmstadt,49.8667,8.65,Germany,Europe
Saint-Marc,19.1167,-72.7,Haiti,North America
La Laguna,28.4853,-16.3167,Spain,Europe
Arad,46.1667,21.3167,Romania,Europe
Khanpur,28.6471,70.662,Pakistan,Asia
Taunggyi,20.7833,96.9667,Myanmar,Asia
Bingol,38.8861,40.5017,Turkey,Asia
San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina,Oceania
Huaycan,-12.0139,-76.825,Peru,Oceania
Bajos de Haina,18.42,-70.03,Dominican Republic,North America
Kramatorsk,48.7208,37.5556,Ukraine,Europe
Livorno,43.55,10.3167,Italy,Europe
Shahr-e Kord,32.3256,50.8644,Iran,Asia
Talas,38.6833,35.5667,Turkey,Asia
Ekibastuz,51.7298,75.3266,Kazakhstan,Asia
Trece Martires City,14.2833,120.8667,Philippines,Asia
Hat Yai,7.0167,100.4667,Thailand,Asia
Chirchiq,41.4667,69.5833,Uzbekistan,Asia
Catamarca,-28.4686,-65.7792,Argentina,Oceania
Jijiga,9.35,42.8,Ethiopia,Africa
Champaign,40.1144,-88.2735,United States,North America
Alexandria,38.8185,-77.0861,United States,North America
George,-33.9667,22.45,South Africa,Africa
Herne,51.5426,7.219,Germany,Europe
Ravenna,44.4178,12.1994,Italy,Europe
Higashimurayama,35.7547,139.4686,Japan,Asia
Hayward,37.6328,-122.0772,United States,North America
Abaetetuba,-1.7178,-48.8828,Brazil,Oceania
Ogaki,35.3594,136.6128,Japan,Asia
Saharsa,25.88,86.6,India,Asia
Stara Zagora,42.4257,25.6346,Bulgaria,Europe
Chau Doc,10.7,105.1167,Vietnam,Asia
Guimaraes,41.445,-8.2908,Portugal,Europe
Matsuzaka,34.5781,136.5275,Japan,Asia
Haripur,31.52,75.98,India,Asia
Springfield,39.771,-89.6538,United States,North America
San Cristobal,16.7367,-92.6383,Mexico,North America
Rafael Castillo,-34.7167,-58.6167,Argentina,Oceania
Rio Cuarto,-33.123,-64.3478,Argentina,Oceania
Bonao,18.9333,-70.4,Dominican Republic,North America
Villeurbanne,45.7667,4.8803,France,Europe
Villanueva,15.3167,-88.0167,Honduras,North America
Gojra,31.15,72.6833,Pakistan,Asia
Teixeira de Freitas,-17.535,-39.7419,Brazil,Oceania
Lakewood,39.6977,-105.1168,United States,North America
Oxford,51.7519,-1.2578,United Kingdom,Europe
Camarajibe,-8.0219,-34.9808,Brazil,Oceania
Lafayette,40.399,-86.8594,United States,North America
Fethiye,36.6206,29.1142,Turkey,Asia
Uiwang,37.3447,126.9683,"Korea, South",Asia
Navojoa,27.0813,-109.4461,Mexico,North America
Calama,-22.4624,-68.9272,Chile,Oceania
Erzincan,39.7464,39.4914,Turkey,Asia
Chaoshan,23.0701,113.8693,China,Asia
Middelburg,-25.7684,29.4783,South Africa,Africa
Lajes,-27.8158,-50.3258,Brazil,Oceania
Salzburg,47.7972,13.0477,Austria,Europe
Mandi Bahauddin,32.5861,73.4917,Pakistan,Asia
Zonguldak,41.4304,31.78,Turkey,Asia
Isiro,2.7833,27.6167,Congo (Kinshasa),Africa
El Eulma,36.1528,5.69,Algeria,Africa
