city_ascii,lat,lng,division
Zacatecas,22.7736,-102.5736,Zacatecas
Boca del Rio,19.1056,-96.1078,Veracruz
Santa Maria Texmelucan,19.2833,-98.4333,Puebla
Zinacantepec,19.2833,-99.7333,Estado de Mexico
Heroica Guaymas,27.9183,-110.8989,Sonora
Apatzingan de la Constitucion,19.0886,-102.3508,Michoacan
Miramar,22.3375,-97.8694,Tamaulipas
Ixtlahuaca,19.5689,-99.7669,Estado de Mexico
Orizaba,18.85,-97.1,Veracruz
Ciudad de Atlixco,18.9,-98.45,Puebla
San Pedro Garza Garcia,25.6667,-100.3,Nuevo Leon
Villa de Alvarez,19.25,-103.7333,Colima
Ciudad Hidalgo,19.6923,-100.5574,Michoacan
Chilapa de Alvarez,17.5944,-99.1778,Guerrero
Cuautitlan,19.6833,-99.1833,Estado de Mexico
Martinez de la Torre,20.0667,-97.05,Veracruz
Tecoman,18.9089,-103.8747,Colima
Temixco,18.85,-99.2333,Morelos
San Antonio Enchisi,19.7072,-99.7867,Estado de Mexico
Parral,26.9333,-105.6667,Chihuahua
Huejutla de Reyes,21.1333,-98.4167,Hidalgo
Las Delicias,28.2,-105.5,Chihuahua
San Francisco del Rincon,21.0228,-101.86,Guanajuato
Ciudad Mante,22.7333,-98.95,Tamaulipas
Escuintla,15.3194,-92.6583,Chiapas
Fresnillo,23.175,-102.8675,Zacatecas
Iguala de la Independencia,18.35,-99.5333,Guerrero
Huauchinango,20.1767,-98.0528,Puebla
La Piedad,20.3333,-102.0167,Michoacan
San Felipe,21.4833,-101.2167,Guanajuato
Lerma,19.2847,-99.5119,Estado de Mexico
Ciudad Rio Bravo,25.9861,-98.0889,Tamaulipas
Zihuatanejo,17.6444,-101.5511,Guerrero
Tula de Allende,20.05,-99.35,Hidalgo
San Felipe del Progreso,19.7125,-99.9511,Estado de Mexico
Coatepec,19.4553,-96.9586,Veracruz
Tizayuca,19.8333,-98.9833,Morelos
San Luis de la Paz,21.3,-100.5167,Guanajuato
